k,model,AUC,Gini,KS,F1,Recall,Precision,Accuracy,Brier
12,XGBoost,0.7120596282214294,0.42411925644285886,0.3037893828319593,0.09250174142954513,0.04987762816733036,0.6360733415739597,0.7907279209069994,0.15175133154509324
12,LightGBM,0.7120482365246513,0.42409647304930265,0.30370539748976605,0.09168620811076066,0.04942529664063068,0.6325201571221831,0.7905931975045081,0.15176109620024206
12,CatBoost,0.7080709261233519,0.41614185224670375,0.2972014718199619,0.09325448741430739,0.05037842378617643,0.6262048192771085,0.7905068363490649,0.15250397076537217
13,XGBoost,0.712161565820288,0.424323131640576,0.3047407909626165,0.09174421915508998,0.049449528686703874,0.6340756084930088,0.7906363780822296,0.15175410857147323
13,LightGBM,0.7120879668651809,0.4241759337303619,0.3043848051210645,0.09156965856143347,0.04936875519979322,0.6306882674646579,0.7905396535881333,0.15175570687520556
13,CatBoost,0.7080123011797527,0.41602460235950534,0.2978172129370983,0.09440515045820855,0.051048843727534876,0.626486915146709,0.7905724708272017,0.15249103194813665
14,XGBoost,0.7120713843084765,0.424142768616953,0.3036286454545767,0.09254487160279268,0.04989378286471249,0.6375270925792136,0.7907676470385032,0.15175217980004016
14,LightGBM,0.7120860594839392,0.42417211896787843,0.3045680700459704,0.09166129539969721,0.04939298724586642,0.635456718279123,0.7906674680981892,0.15175846285426836
14,CatBoost,0.7081812904923055,0.416362580984611,0.2976982073360041,0.09394036789822628,0.05075805917465651,0.6294070512820513,0.7906277419666853,0.15249275046499938
15,XGBoost,0.7121389557088702,0.4242779114177404,0.30438544009553176,0.09192112912408978,0.04955453421968773,0.6337155252556554,0.7906363780822296,0.1517469011804163
15,LightGBM,0.7119844556100281,0.4239689112200562,0.3036252032189656,0.0915820072522401,0.04936875519979322,0.6318618835935077,0.7905707436040929,0.1517686470009542
15,CatBoost,0.7083913532705115,0.416782706541023,0.2976980815336509,0.09292234026634745,0.05016033537151765,0.6300091305671097,0.7905914702813992,0.15247293514934726
16,XGBoost,0.7120812541233101,0.4241625082466203,0.30460323122693195,0.0910344827586207,0.049045661252150596,0.6326977180368866,0.7905638347116574,0.1517525540807638
16,LightGBM,0.7120941749335828,0.4241883498671657,0.30416700016542486,0.09137527739459006,0.04922336292335404,0.6360505166475315,0.7906674680981892,0.15175716529373337
16,CatBoost,0.7082052889371266,0.4164105778742533,0.29776726608436266,0.09300343210928913,0.05023303150973724,0.6260318099456412,0.7904895641179762,0.15249413928166006
